break down  tomber en panne
break up 	disperser (une foule)
bring back 	rapporter
brush up 	rafraîchir (ses connaissances)
carry on 	continuer, poursuivre
carry out 	mener à bien
catch up 	rattraper son retard
come off 	se détacher
cut off 	couper
drop in 	passer voir qn
eat up 		manger (tout)
get off 	descendre (d'un bus...)
get over 	se remettre de
get up 		se lever
get on 		s'entendre (avec qn)
give back 	rendre
give up 	renoncer à
give away 	distribuer
go ahead 	poursuivre
grow up 	grandir
keep on 	continuer à
lay off 	licencier
look up 	chercher (un mot)
make out 	comprendre
pay back 	rembourser
pick up 	ramasser
pull down 	abaisser
push back 	repousser
put off 	reporter
put away 	ranger
put on 		mettre (un vêtement...)
put up with tolérer
run for 	être candidat, se présenter
run out 	manquer de
set off 	partir
sort out 	ranger, régler
stand up 	se lever (d'un siège)
switch on 	allumer (la lumière...)
take off 	décoller
take over 	reprendre
take off 	enlever
turn down 	refuser
write down 	noter
